Encoder Angle    Steering Angle
-------------------------------
     0     0

  186.6797  497.8125

  187.0312  498.7500

  187.3828  499.6875

  187.7344  500.6250

  188.0859  501.5625

  188.4375  502.5000

  188.7891  503.4375

  189.1406  504.3750

  189.4922  505.3125

  189.8438  506.2500

  190.1953  507.1875

  190.5469  508.1250

  190.8984  509.0625

  191.2500  510.0000

  191.6016  510.9375

  191.9531  511.8750

  192.3047  512.8125

  192.6562  513.7500

  193.0078  514.6875

  193.3594  515.6250

  193.7109  516.5625

  194.0625  517.5000

  194.4141  518.4375

  194.7656  519.3750

  195.1172  520.3125

  195.4688  521.2500

  195.8203  522.1875

  196.1719  523.1250

  196.5234  524.0625

  196.8750  525.0000

  197.2266  525.9375

  197.5781  526.8750

  197.9297  527.8125

  198.2812  528.7500

  198.6328  529.6875

  198.9844  530.6250

  199.3359  531.5625

  199.6875  532.5000

  200.0391  533.4375

  200.3906  534.3750

  200.7422  535.3125

  201.0938  536.2500

  201.4453  537.1875

  201.7969  538.1250

  202.1484  539.0625

  202.5000  540.0000

  202.8516  540.9375

  203.2031  541.8750

  203.5547  542.8125

  203.9062  543.7500

  204.2578  544.6875

  204.6094  545.6250

  204.9609  546.5625

  205.3125  547.5000

  205.6641  548.4375

  206.0156  549.3750

  206.3672  550.3125

  206.7188  551.2500

  207.0703  552.1875

  207.4219  553.1250

  207.7734  554.0625

  208.1250  555.0000

  208.4766  555.9375

  208.8281  556.8750

  209.1797  557.8125

  209.5312  558.7500

  209.8828  559.6875

  210.2344  560.6250

  210.5859  561.5625

  210.9375  562.5000

  211.2891  563.4375

  211.6406  564.3750

  211.9922  565.3125

  212.3438  566.2500

  212.6953  567.1875

  213.0469  568.1250

  213.3984  569.0625

  213.7500  570.0000

  214.1016  570.9375

  214.4531  571.8750

  214.8047  572.8125

  215.1562  573.7500

  215.5078  574.6875

  215.8594  575.6250

  216.2109  576.5625

  216.5625  577.5000

  216.9141  578.4375

  217.2656  579.3750

  217.6172  580.3125

  217.9688  581.2500

  218.3203  582.1875

  218.6719  583.1250

  219.0234  584.0625

  219.3750  585.0000

  219.7266  585.9375

  220.0781  586.8750

  220.4297  587.8125

  220.7812  588.7500

  221.1328  589.6875

  221.4844  590.6250

  221.8359  591.5625

  222.1875  592.5000

  222.5391  593.4375

  222.8906  594.3750

  223.2422  595.3125

  223.5938  596.2500

  223.9453  597.1875

  224.2969  598.1250

  224.6484  599.0625

   225   600

  225.3516  600.9375

  225.7031  601.8750

  226.0547  602.8125

  226.4062  603.7500

  226.7578  604.6875

  227.1094  605.6250

  227.4609  606.5625

  227.8125  607.5000

  228.1641  608.4375

  228.5156  609.3750

  228.8672  610.3125

  229.2188  611.2500

  229.5703  612.1875

  229.9219  613.1250

  230.2734  614.0625

  230.6250  615.0000

  230.9766  615.9375

  231.3281  616.8750

  231.6797  617.8125

  232.0312  618.7500

  232.3828  619.6875

  232.7344  620.6250

  233.0859  621.5625

  233.4375  622.5000

  233.7891  623.4375

  234.1406  624.3750

  234.4922  625.3125

  234.8438  626.2500

  235.1953  627.1875

  235.5469  628.1250

  235.8984  629.0625

  236.2500  630.0000

  236.6016  630.9375

  236.9531  631.8750

  237.3047  632.8125

  237.6562  633.7500

  238.0078  634.6875

  238.3594  635.6250

  238.7109  636.5625

  239.0625  637.5000

  239.4141  638.4375

  239.7656  639.3750

  240.1172  640.3125

  240.4688  641.2500

  240.8203  642.1875

  241.1719  643.1250

  241.5234  644.0625

  241.8750  645.0000

  242.2266  645.9375

  242.5781  646.8750

  242.9297  647.8125

  243.2812  648.7500

  243.6328  649.6875

  243.9844  650.6250

  244.3359  651.5625

  244.6875  652.5000

  245.0391  653.4375

  245.3906  654.3750

  245.7422  655.3125

  246.0938  656.2500

  246.4453  657.1875

  246.7969  658.1250

  247.1484  659.0625

  247.5000  660.0000

  247.8516  660.9375

  248.2031  661.8750

  248.5547  662.8125

  248.9062  663.7500

  249.2578  664.6875

  249.6094  665.6250

  249.9609  666.5625

  250.3125  667.5000

  250.6641  668.4375

  251.0156  669.3750

  251.3672  670.3125

  251.7188  671.2500

  252.0703  672.1875

  252.4219  673.1250

  252.7734  674.0625

  253.1250  675.0000

  253.4766  675.9375

  253.8281  676.8750

  254.1797  677.8125

  254.5312  678.7500

  254.8828  679.6875

  255.2344  680.6250

  255.5859  681.5625

  255.9375  682.5000

  256.2891  683.4375

  256.6406  684.3750

  256.9922  685.3125

  257.3438  686.2500

  257.6953  687.1875

  258.0469  688.1250

  258.3984  689.0625

  258.7500  690.0000

  259.1016  690.9375

  259.4531  691.8750

  259.8047  692.8125

  260.1562  693.7500

  260.5078  694.6875

  260.8594  695.6250

  261.2109  696.5625

  261.5625  697.5000

  261.9141  698.4375

  262.2656  699.3750

  262.6172  700.3125

  262.9688  701.2500

  263.3203  702.1875

  263.6719  703.1250

  264.0234  704.0625

  264.3750  705.0000

  264.7266  705.9375

  265.0781  706.8750

  265.4297  707.8125

  265.7812  708.7500

  266.1328  709.6875

  266.4844  710.6250

  266.8359  711.5625

  267.1875  712.5000

  267.5391  713.4375

  267.8906  714.3750

  268.2422  715.3125

  268.5938  716.2500

  268.9453  717.1875

  269.2969  718.1250

  269.6484  719.0625

   270   720

  270.3516  720.9375

  270.7031  721.8750

  271.0547  722.8125

  271.4062  723.7500

  271.7578  724.6875

  272.1094  725.6250

  272.4609  726.5625

  272.8125  727.5000

  273.1641  728.4375

  273.5156  729.3750

  273.8672  730.3125

  274.2188  731.2500

  274.5703  732.1875

  274.9219  733.1250

  275.2734  734.0625

  275.6250  735.0000

  275.9766  735.9375

  276.3281  736.8750

  276.6797  737.8125

  277.0312  738.7500

  277.3828  739.6875

  277.7344  740.6250

  278.0859  741.5625

  278.4375  742.5000

  278.7891  743.4375

  279.1406  744.3750

  279.4922  745.3125

  279.8438  746.2500

  280.1953  747.1875

  280.5469  748.1250

  280.8984  749.0625

  281.2500  750.0000

  281.6016  750.9375

  281.9531  751.8750

  282.3047  752.8125

  282.6562  753.7500

  283.0078  754.6875

  283.3594  755.6250

  283.7109  756.5625

  284.0625  757.5000

  284.4141  758.4375

  284.7656  759.3750

  285.1172  760.3125

  285.4688  761.2500

  285.8203  762.1875

  286.1719  763.1250

  286.5234  764.0625

  286.8750  765.0000

  287.2266  765.9375

  287.5781  766.8750

  287.9297  767.8125

  288.2812  768.7500

  288.6328  769.6875

  288.9844  770.6250

  289.3359  771.5625

  289.6875  772.5000

  290.0391  773.4375

  290.3906  774.3750

  290.7422  775.3125

  291.0938  776.2500

  291.4453  777.1875

  291.7969  778.1250

  292.1484  779.0625

  292.5000  780.0000

  292.8516  780.9375

  293.2031  781.8750

  293.5547  782.8125

  293.9062  783.7500

  294.2578  784.6875

  294.6094  785.6250

  294.9609  786.5625

  295.3125  787.5000

  295.6641  788.4375

  296.0156  789.3750

  296.3672  790.3125

  296.7188  791.2500

  297.0703  792.1875

  297.4219  793.1250

  297.7734  794.0625

  298.1250  795.0000

  298.4766  795.9375

  298.8281  796.8750

  299.1797  797.8125

  299.5312  798.7500

  299.8828  799.6875

  300.2344  800.6250

  300.5859  801.5625

  300.9375  802.5000

  301.2891  803.4375

  301.6406  804.3750

  301.9922  805.3125

  302.3438  806.2500

  302.6953  807.1875

  303.0469  808.1250

  303.3984  809.0625

  303.7500  810.0000

  304.1016  810.9375

  304.4531  811.8750

  304.8047  812.8125

  305.1562  813.7500

  305.5078  814.6875

  305.8594  815.6250

  306.2109  816.5625

  306.5625  817.5000

  306.9141  818.4375

  307.2656  819.3750

  307.6172  820.3125

  307.9688  821.2500

  308.3203  822.1875

  308.6719  823.1250

  309.0234  824.0625

  309.3750  825.0000

  309.7266  825.9375

  310.0781  826.8750

  310.4297  827.8125

  310.7812  828.7500

  311.1328  829.6875

  311.4844  830.6250

  311.8359  831.5625

  312.1875  832.5000

  312.5391  833.4375

  312.8906  834.3750

  313.2422  835.3125

  313.5938  836.2500

  313.9453  837.1875

  314.2969  838.1250

  314.6484  839.0625

   315   840

  315.3516  840.9375

  315.7031  841.8750

  316.0547  842.8125

  316.4062  843.7500

  316.7578  844.6875

  317.1094  845.6250

  317.4609  846.5625

  317.8125  847.5000

  318.1641  848.4375

  318.5156  849.3750

  318.8672  850.3125

  319.2188  851.2500

  319.5703  852.1875

  319.9219  853.1250

  320.2734  854.0625

  320.6250  855.0000

  320.9766  855.9375

  321.3281  856.8750

  321.6797  857.8125

  322.0312  858.7500

  322.3828  859.6875

  322.7344  860.6250

  323.0859  861.5625

  323.4375  862.5000

  323.7891  863.4375

  324.1406  864.3750

  324.4922  865.3125

  324.8438  866.2500

  325.1953  867.1875

  325.5469  868.1250

  325.8984  869.0625

  326.2500  870.0000

  326.6016  870.9375

  326.9531  871.8750

  327.3047  872.8125

  327.6562  873.7500

  328.0078  874.6875

  328.3594  875.6250

  328.7109  876.5625

  329.0625  877.5000

  329.4141  878.4375

  329.7656  879.3750

  330.1172  880.3125

  330.4688  881.2500

  330.8203  882.1875

  331.1719  883.1250

  331.5234  884.0625

  331.8750  885.0000

  332.2266  885.9375

  332.5781  886.8750

  332.9297  887.8125

  333.2812  888.7500

  333.6328  889.6875

  333.9844  890.6250

  334.3359  891.5625

  334.6875  892.5000

  335.0391  893.4375

  335.3906  894.3750

  335.7422  895.3125

  336.0938  896.2500

  336.4453  897.1875

  336.7969  898.1250

  337.1484  899.0625

  337.5000  900.0000

  337.8516  900.9375

  338.2031  901.8750

  338.5547  902.8125

  338.9062  903.7500

  339.2578  904.6875

  339.6094  905.6250

  339.9609  906.5625

  340.3125  907.5000

  340.6641  908.4375

  341.0156  909.3750

  341.3672  910.3125

  341.7188  911.2500

  342.0703  912.1875

  342.4219  913.1250

  342.7734  914.0625

  343.1250  915.0000

  343.4766  915.9375

  343.8281  916.8750

  344.1797  917.8125

  344.5312  918.7500

  344.8828  919.6875

  345.2344  920.6250

  345.5859  921.5625

  345.9375  922.5000

  346.2891  923.4375

  346.6406  924.3750

  346.9922  925.3125

  347.3438  926.2500

  347.6953  927.1875

  348.0469  928.1250

  348.3984  929.0625

  348.7500  930.0000

  349.1016  930.9375

  349.4531  931.8750

  349.8047  932.8125

  350.1562  933.7500

  350.5078  934.6875

  350.8594  935.6250

  351.2109  936.5625

  351.5625  937.5000

  351.9141  938.4375

  352.2656  939.3750

  352.6172  940.3125

  352.9688  941.2500

  353.3203  942.1875

  353.6719  943.1250

  354.0234  944.0625

  354.3750  945.0000

  354.7266  945.9375

  355.0781  946.8750

  355.4297  947.8125

  355.7812  948.7500

  356.1328  949.6875

  356.4844  950.6250

  356.8359  951.5625

  357.1875  952.5000

  357.5391  953.4375

  357.8906  954.3750

  358.2422  955.3125

  358.5938  956.2500

  358.9453  957.1875

  359.2969  958.1250

  359.6484  959.0625

   360   960
